City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
144,ghat,24.9647,10.1728,27.07,26,0,1.07,LY,1694500221
145,berdigestyakh,62.0989,126.6992,11.62,41,96,2.62,RU,1694500222
146,maba,24.6841,113.5984,33.88,20,77,1.32,CN,1694500222
147,nuuk,64.1835,-51.7216,4.34,87,100,5.66,GL,1694500223
148,yerofey pavlovich,53.9667,121.9667,11.73,41,100,4.04,RU,1694500223
149,sanctuary point,-35.1114,150.629,18.51,63,62,3.32,AU,1694500224
150,queenstown,-31.8976,26.8753,4.38,56,6,1.0,ZA,1694500213
151,lautoka,-17.6167,177.4667,25.92,73,40,4.12,FJ,1694500224
152,palikir - national government center,6.9248,158.1611,28.51,70,100,1.65,FM,1694500225
153,boa vista,2.8197,-60.6733,23.99,88,75,1.03,BR,1694500108
154,kandahar,31.0,65.75,34.59,11,0,3.03,AF,1694500226
155,howard springs,-12.497,131.047,34.95,49,100,1.7,AU,1694500226
156,lebu,-37.6167,-73.65,7.26,86,6,1.56,CL,1694500227
157,staraya russa,57.9944,31.3608,19.44,60,5,3.39,RU,1694500227
158,torre de moncorvo,41.1792,-7.0358,15.95,96,7,0.79,PT,1694500227
159,mogok,22.9167,96.5,22.64,96,79,1.03,MM,1694500228
160,akureyri,65.6835,-18.0878,-2.04,86,0,2.57,IS,1694500228
161,eyl,7.9803,49.8164,32.23,46,41,11.76,SO,1694500229
162,north bend,43.4065,-124.2243,15.48,94,0,0.0,US,1694500229
163,westport,41.1415,-73.3579,21.42,92,100,2.57,US,1694500230
164,naracoorte,-36.9579,140.7383,18.26,69,70,3.67,AU,1694500230
165,qarqaraly,49.4058,75.4742,12.05,52,100,11.53,KZ,1694500231
166,skovorodino,53.9833,123.9167,10.83,51,100,4.99,RU,1694500231
167,lichinga,-13.3128,35.2406,20.05,73,11,4.12,MZ,1694500161
168,chegdomyn,51.1167,133.0167,11.31,58,100,3.39,RU,1694500232
169,portland,45.5234,-122.6762,19.14,72,40,2.06,US,1694499866
